id,depends_on,title,section,stage,description,priority,status,tags,COUNTS
TRD-60,TRD-50,Domination Tree,Tradition,Mid,,,to-do,sprawl,1
PER-10,TRD-10,Tech First,Ascension Perk,Early,,,to-do,research,1
PER-20,TRD-20,One Vision,Ascension Perk,Early,,,to-do,unity,1
PER-30,TRD-30|RES-07|ECO-04,Arcology Project,Ascension Perk,Early,Ecumenopolis prerequisite,,to-do,economy,1
PER-40,TRD-40,Cosmo Genesis,Ascension Perk,Mid,Fallen Empire building prerequisite,,to-do,pop-growth,1
PER-50,TRD-50,Universal Transactions,Ascension Perk,Mid,Improves mercantile tradition,,to-do,economy,1
PER-60,TRD-60,Mastery Of Nature,Ascension Perk,Mid,More districts,,to-do,economy,1
POL-01,,Diplomatic Stance ? Isolanists,Policy,Start,10% unity boost,,to-do,unity,1
POL-02,,Inner Focus,Policy,Early,"- 10% unity boost
- Activate once chokepoints are established",,to-do,unity,1
EVE-01,ECO-02,Rapid Identity Preservation,Event,Early,Research focus to focus down engineering,,to-do,research,1
POL-03,EXP-03,Proactive First Contact,Policy,Start,,,to-do,exploration,1
POL-04,TRD-12|THE-02,Wealth Creation ? Marketplace Of Ideas,Policy,Mid,Unity from trade,,to-do,unity,1
EVE-02,,Habitable World Survey,Event,Early,Take the Unity,,to-do,unity,1
THE-02,THR-01,SHIFT TO MEGA CORPS,Government,Mid,,,to-do,economy,1
EVE-03,THR-01,Synthetic Fertility 1,Event,Mid,Improve durability ? limited ways to reduce upkeep,,to-do,economy,1
EVE-04,EVE-03,Synthetic Fertility 2,Event,Mid,We are stronger together ? we get our pops back,,to-do,"pop-growth, economy",1
EVE-05,EVE-04,Synthetic Fertility 3,Event,Mid,Nature got something right ? 5% resources from jobs,,to-do,"economy, research",1
EVE-06,EVE-05,Synthetization,Event,Mid,Full Speed because alloys aren't a priority,,to-do,,1
EVE-07,EVE-06,Digital Refactoring,Event,Mid,"- Select virtual options
- https://stellaris.paradoxwikis.com/Digital_Refactoring
- Only exception is Digital Bomes for more trade",,to-do,,1
GOV-07,THE-02,Civics,Government,Mid,"1. Corporate Hedonism (hedonists create unity & pop growth)
2. Mastercraft Inc. (consumer goods & trade from artificers)",,to-do,"economy, unity, pop-growth",1
GOV-08,THE-02,Council,Government,Mid,"CEO, Head of Research, Minister of State, & Minister of Defense",,to-do,,1
THR-03,MGT-08,RESEARCH PRIORITIES,Research,Mid,,,to-do,research,1
RES-05,THR-03,Machine Template System,Research,Mid,Customize species traits,,to-do,research,1
RES-06,THR-03,Weather Control System,Research,Mid,Anti-Gravity Engineering prerequisite,,to-do,research,1
RES-07,RES-06,Anti-Gravity Engineering,Research,Mid,Arcology Project prerequisite,,to-do,research,1
MGT-09,GOV-04,Build Identity Complex On Homeworld,Planet Mgmt,Mid,,,to-do,research,1
MGT-10,THR-01|MGT-04,Replace Specialized Districts w/ Research Enclaves,Planet Mgmt,Mid,,,to-do,research,1
ECO-04,,Buy Minerals,Economy,Mid,"Ecumenopolises require 20,000 minerals so stockpiling will be necessary",,to-do,economy,1
MGT-11,PER-30,Fallen Empire Assembly,Planet Mgmt,Late,Specialized districts should be commercial arcologies to build fallen empire assembly buildings on homeworld,,to-do,pop-growth,1
POL-05,EVE-06,Optimize Identity Creation,Policy,Mid,Turn on Edict to maximize pop assembly,,to-do,pop-growth,1
POL-06,THE-02,Belligerent ? Mercantile Government,Policy,Mid,10% Trade Boost,,to-do,economy,1
SPE-05,RES-05,Adaptive Frames,Species Mod,Mid,Overhaul amazing trait,,to-do,,1
SPE-06,RES-05,Mass Produced,Species Mod,Mid,Pop Growth,,to-do,pop-growth,1
POL-07,EVE-05,Identity Copies ? Identity Initialization,Policy,Mid,Increases resource output & happiness,,to-do,economy,1
POL-08,PER-40,Materials Engineering Focus,Policy,Late,"Once we get cosmogenesis Tier 4, we get fallen empire robot assembly plants",,to-do,research,1
RES-08,THR-03,Ascension Theory Technology,Research,Late,Prerequisite for Ambitions Edicts,,to-do,research,1
POL-09,RES-08,Ambition: Scientific Revolution,Policy,Late,Massive Research Boost edict,,to-do,research,1
