id,depends_on,title,section,stage,description,priority,status,tags
POL-100,,Ambition: Scientific Revolution,Policy,Mid,Research scaling ambition.,1,todo,research
RES-010,POL-030|SPC-010|SPC-050|SPC-040,Engineering Tech Rush,Research,Start,Prioritize guaranteed engineering techs to reach Synthetic Fertility ASAP.,1,todo,research
RES-020,,Materials Workshop (if rolled),Research,Start,Strong early option for engineering scaling.,2,todo,research
RES-030,,Rapid Identity Preservation,Research,Start,Policy choice to bias engineering research.,2,todo,research
RES-050,,Machine TempMid System,Research,Early,Unlocks robot trait customization.,2,todo,pop-growth
RES-060,,Build Identity Complex,Research,Early,"After specialization shift, boosts unity and pop assembly scaling.",2,todo,"unity, pop-growth"
RES-070,,Wealth Control System (Tier 1),Research,Early,Prereq for Anti-Gravity ? Ecumenopolis.,2,todo,economy
RES-080,RES-070,"Wealth Control System (Tier 2, Anti-Gravity)",Research,Early,Key unlock for Ecumenopolis Ascension Perk.,1,todo,"research, pop-growth"
RES-090,,Psionic Theory (admin modifier),Research,Early,Reduces empire size from pops.,2,todo,sprawl
RES-100,,Assembly Complexes,Research,Early,Increases pop build speed.,1,todo,pop-growth
RES-110,,Orbital Rings (optional),Research,Early,"District pressure relief, not core.",3,todo,economy
RES-120,,Robot Manufacturing Nexus,Research,Mid,High-tier assembly building if needed.,2,todo,pop-growth
RES-130,,Living Metals,Research,Mid,Strategic resource for research bonuses.,2,todo,research
SPC-010,,Intelligence,Species,Setup,"10% research efficiency.
Core for Synthetic Fertility rush.",1,todo,research
SPC-050,,Natural Engineers,Species,Setup,"15% engineering research efficiency.
Core for Synthetic Fertility rush.",,todo,research
SPC-020,,Ingenious,Species,Setup,"15% energy job efficiency.
Provides energy buffer to handle crash as organics decline.",2,todo,economy
SPC-030,,Unruly,Species,Setup,"Free negative trait, negligible effect.",3,todo,none
SPC-040,,Fanatic Materialist,Ethics,Setup,Research boost and reduced robot upkeep.,1,todo,"research, robots"
SPC-110,,Adaptive Frames,Species Mod,Early,Premium robot traits.,2,todo,pop-growth
SPC-120,,Mass Produced,Species Mod,Early,Faster assembly.,1,todo,pop-growth
SPC-130,,Subspecies Integration,Species Mod,Early,Gradual integration.,2,todo,pop-growth
SPC-140,,Decadent Lifestyles,Species Mod,Early,Living standards ? growth + unity.,2,todo,"unity, pop-growth"
THR-010,RES-010,Achieved Synthetic Fertility,Milestone,Early,Synthetic Fertility tech researched; unlocks synthetics and early pop assembly. Enables Megacorp swap.,1,todo,"research, pop-growth"
THR-020,,Government Pivot to Megacorp,Milestone,Early,Switch to Megacorp government after Synthetic Fertility. Trade becomes primary economic engine.,1,todo,"economy, unity"
THR-030,,Anti-Gravity Engineering (Ecumenopolis),Milestone,Mid,Research line finished to unlock Ecumenopolis. Enables late-game pop funnel.,1,todo,"research, pop-growth"
THR-040,,Consumer Goods Stabilized,Milestone,Mid,CG economy balanced via trade + Mastercraft. Civilians can remain “virtual” (unity/research).,1,todo,"economy, research"
THR-050,,Ecumenopolis Completed,Milestone,Late,Capital transformed into Ecumenopolis. Enables arcologies + stacking of FE assembly buildings.,1,todo,"pop-growth, research"
THR-060,,Research Snowball Established,Milestone,Late,"All assembly funneled into capital, unity and trade stabilized. Tech output scales quadratically.",1,todo,research
TRD-010,,Open Mercantile Tree,Tradition,Start,Early economic & trade scaling.,1,todo,economy
TRD-020,TRD-010,Trickle-Up Economics,Tradition,Start,Civilians ? trade ? economy + unity.,1,todo,"economy, unity"
TRD-030,TRD-020,Marketplace of Ideas,Tradition,Start,Unlocks unity trade conversion (defer switch).,2,todo,unity
TRD-040,TRD-010|TRD-030,Prosperity Tree,Tradition,Early,Efficiency & economy stability.,2,todo,economy
TRD-050,TRD-040,Statecraft Tree,Tradition,Early,Admin capacity and sprawl management.,2,todo,sprawl
TRD-060,TRD-050,Discovery Tree,Tradition,Early,Reduces researcher upkeep.,2,todo,research
TRD-070,TRD-060,Harmony Tree,Tradition,Early,Reduces empire size from pops.,2,todo,sprawl
TRD-080,TRD-070,Domination Tree,Tradition,Mid,Mid-game sprawl reduction.,2,todo,sprawl
